"page","image_no_on_page","file_name","src","alt","status","file_exists"
"alveolar.html","1","max.png","max.png","","empty-alt","yes"
"alveolar.html","2","logo.png","logo.png","Center of Surgery","ok","yes"
"alveolar.html","3","doctor-trofimov-01.jpg","assets/images/doctor-trofimov-01.jpg","Трофимов Е. И.","ok","yes"
"alveolar.html","4","doctor-kravchenko-01.jpg","assets/images/doctor-kravchenko-01.jpg","Кравченко Д. В.","ok","yes"
"alveolar.html","5","alveolar-01.jpg","assets/images/alveolar-01.jpg","Операции альвеолярного отростка | Москва, Одинцово | Center of Surgery","ok","yes"
"alveolar.html","6","alveolar-02.jpg","assets/images/alveolar-02.jpg","Операции альвеолярного отростка | Москва, Одинцово | Center of Surgery","ok","yes"
"alveolar.html","7","alveolar-03.jpg","assets/images/alveolar-03.jpg","Операции альвеолярного отростка | Москва, Одинцово | Center of Surgery","ok","yes"
"alveolar.html","8","alveolar-04.jpg","assets/images/alveolar-04.jpg","Операции альвеолярного отростка | Москва, Одинцово | Center of Surgery","ok","yes"
"alveolar.html","9","logo.png","logo.png","Center of Surgery","ok","yes"
"alveolar.html","10","","","","empty-alt","yes"
"analyzes.html","1","max.png","max.png","","empty-alt","yes"
"analyzes.html","2","logo.png","logo.png","Center of Surgery","ok","yes"
"analyzes.html","3","doctor-trofimov-01.jpg","assets/images/doctor-trofimov-01.jpg","Трофимов Е. И.","ok","yes"
"analyzes.html","4","doctor-kravchenko-01.jpg","assets/images/doctor-kravchenko-01.jpg","Кравченко Д. В.","ok","yes"
"analyzes.html","5","analyzes-01.jpg","assets/images/analyzes-01.jpg","Необходимые анализы и рекомендации | Москва, Одинцово | Center of Surgery","ok","yes"
"analyzes.html","6","logo.png","logo.png","Center of Surgery","ok","yes"
"analyzes.html","7","","","","empty-alt","yes"
"anons.html","1","max.png","max.png","","empty-alt","yes"
"anons.html","2","logo.png","logo.png","Center of Surgery","ok","yes"
"anons.html","3","doctor-trofimov-01.jpg","assets/images/doctor-trofimov-01.jpg","Трофимов Е. И.","ok","yes"
"anons.html","4","doctor-kravchenko-01.jpg","assets/images/doctor-kravchenko-01.jpg","Кравченко Д. В.","ok","yes"
"anons.html","5","anons-hero.png","assets/images/anons-hero.png","Лазерное сканирование лица и прототипирование экзо- и эндопротезов в Center of Surgery","ok","yes"
"anons.html","6","logo.png","logo.png","Center of Surgery","ok","yes"
"anons.html","7","","","","empty-alt","yes"
"bite_restoration.html","1","max.png","max.png","","empty-alt","yes"
"bite_restoration.html","2","logo.png","logo.png","Center of Surgery","ok","yes"
"bite_restoration.html","3","doctor-trofimov-01.jpg","assets/images/doctor-trofimov-01.jpg","Трофимов Е. И.","ok","yes"
"bite_restoration.html","4","doctor-kravchenko-01.jpg","assets/images/doctor-kravchenko-01.jpg","Кравченко Д. В.","ok","yes"
"bite_restoration.html","5","bite_restoration-01.jpg","assets/images/bite_restoration-01.jpg","Восстановления прикуса и устранение челюстно лицевых деформаций | Москва, Одинцово | Center of Surgery","ok","yes"
"bite_restoration.html","6","bite_restoration-02.jpg","assets/images/bite_restoration-02.jpg","Восстановления прикуса и устранение челюстно лицевых деформаций | Москва, Одинцово | Center of Surgery","ok","yes"
"bite_restoration.html","7","bite_restoration-03.jpg","assets/images/bite_restoration-03.jpg","Восстановления прикуса и устранение челюстно лицевых деформаций | Москва, Одинцово | Center of Surgery","ok","yes"
"bite_restoration.html","8","bite_restoration-04.jpg","assets/images/bite_restoration-04.jpg","Восстановления прикуса и устранение челюстно лицевых деформаций | Москва, Одинцово | Center of Surgery","ok","yes"
"bite_restoration.html","9","bite_restoration-05.jpg","assets/images/bite_restoration-05.jpg","Восстановления прикуса и устранение челюстно лицевых деформаций | Москва, Одинцово | Center of Surgery","ok","yes"
"bite_restoration.html","10","bite_restoration-06.jpg","assets/images/bite_restoration-06.jpg","Восстановления прикуса и устранение челюстно лицевых деформаций | Москва, Одинцово | Center of Surgery","ok","yes"
"bite_restoration.html","11","bite_restoration-07.jpg","assets/images/bite_restoration-07.jpg","Восстановления прикуса и устранение челюстно лицевых деформаций | Москва, Одинцово | Center of Surgery","ok","yes"
"bite_restoration.html","12","bite_restoration-08.jpg","assets/images/bite_restoration-08.jpg","Восстановления прикуса и устранение челюстно лицевых деформаций | Москва, Одинцово | Center of Surgery","ok","yes"
"bite_restoration.html","13","logo.png","logo.png","Center of Surgery","ok","yes"
"bite_restoration.html","14","","","","empty-alt","yes"
"cleft.html","1","max.png","max.png","","empty-alt","yes"
"cleft.html","2","logo.png","logo.png","Center of Surgery","ok","yes"
"cleft.html","3","doctor-trofimov-01.jpg","assets/images/doctor-trofimov-01.jpg","Трофимов Е. И.","ok","yes"
"cleft.html","4","doctor-kravchenko-01.jpg","assets/images/doctor-kravchenko-01.jpg","Кравченко Д. В.","ok","yes"
